1,16/02/2024,Vente,"98500,00",2.0,,2650,HENRI BUGNET,25000,BESANCON,25,56,,IK,387,,51.0,"55,51",,,,,,,,,1,4.0,,0.10039355981042343,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,16/02/2024,Vente,"98500,00",2.0,,2650,HENRI BUGNET,25000,BESANCON,25,56,,IK,387,,220.0,,,,,,,,,,1,4.0,,-0.12367801371719403,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,6/2/24,Vente,"138500,00",33.0,,5095,VEIL PICARD,25000,BESANCON,25,56,,AX,128,,10.0,,14.0,"60,54",,,,,,,2,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,6/2/24,Vente,"138500,00",33.0,,5095,VEIL PICARD,25000,BESANCON,25,56,,AX,128,,10.0,,14.0,"60,54",,,,,,,2,2.0,,0.05702486815991683,0.6013497238977152,,-0.0006982601324978525,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,6/2/24,Vente,"153000,00",4.0,,5372,WILLIAM SHAKESPEARE,25000,BESANCON,25,56,,LT,385,,49.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,6/2/24,Vente,"153000,00",6.0,,5372,WILLIAM SHAKESPEARE,25000,BESANCON,25,56,,LT,385,,24.0,"68,88",,,,,,,,,1,2.0,,0.08593732926025456,1.2246786043706395,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,6/2/24,Vente,"153000,00",6.0,,5372,WILLIAM SHAKESPEARE,25000,BESANCON,25,56,,LT,385,,19.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente,"137000,00",39.0,A,2330,GEORGES CLEMENCEAU,25000,BESANCON,25,56,,HZ,336,,2.0,,21.0,"59,86",,,,,,,2,2.0,,0.04256863760974796,0.6013497238977152,,-0.0006982601324978525,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente,"137000,00",39.0,A,2330,GEORGES CLEMENCEAU,25000,BESANCON,25,56,,HZ,336,,2.0,,21.0,"59,86",,,,,,,2,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente,"111000,00",26.0,,3630,NARCISSE LANCHY,25000,BESANCON,25,56,,BS,389,,39.0,,73.0,"39,29",,,,,,,2,2.0,,-0.02248439986601195,0.6013497238977152,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente,"111000,00",26.0,,3630,NARCISSE LANCHY,25000,BESANCON,25,56,,BS,389,,7.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente,"111000,00",26.0,,3630,NARCISSE LANCHY,25000,BESANCON,25,56,,BS,389,,39.0,,73.0,"39,29",,,,,,,2,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente,"275000,00",7.0,,430,BERTRAND,25000,BESANCON,25,56,,HW,222,,1.0,"104,27",10.0,,11.0,,7.0,,8.0,,5,2.0,,0.11123573272305008,1.2246786043706395,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente,"275000,00",7.0,,430,BERTRAND,25000,BESANCON,25,56,,HW,222,,1.0,"104,27",10.0,,11.0,,7.0,,8.0,,5,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente,"275000,00",7.0,,430,BERTRAND,25000,BESANCON,25,56,,HW,222,,9.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,15/02/2024,Vente,"128000,00",54.0,,5020,DE LA VAITE,25000,BESANCON,25,56,,CK,158,,40.0,,58.0,"56,91",,,,,,,2,2.0,,0.04618269524729018,1.2246786043706395,,-0.0006982601324978525,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,15/02/2024,Vente,"128000,00",54.0,,5020,DE LA VAITE,25000,BESANCON,25,56,,CK,158,,40.0,,58.0,"56,91",,,,,,,2,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,16/02/2024,Vente,"135900,00",52.0,,2010,DES FLUTTES AGASSES,25000,BESANCON,25,56,,BS,76,,61.0,"75,76",62.0,,,,,,,,2,2.0,,0.12930602091076115,1.8480074848435637,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,16/02/2024,Vente,"135900,00",52.0,,2010,DES FLUTTES AGASSES,25000,BESANCON,25,56,,BS,76,,61.0,"75,76",62.0,,,,,,,,2,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,26/01/2024,Vente,"25000,00",27.0,,2030,FONTAINE ARGENT,25000,BESANCON,25,56,,CV,427,,16.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,26/01/2024,Vente,"25000,00",27.0,,2030,FONTAINE ARGENT,25000,BESANCON,25,56,,CV,427,,15.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,26/01/2024,Vente,"25000,00",27.0,,2030,FONTAINE ARGENT,25000,BESANCON,25,56,,CV,427,,14.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,8/2/24,Vente,"85000,00",6.0,,4880,THIEMANTE,25000,BESANCON,25,56,,AX,156,,1.0,,10.0,,2.0,,,,,,3,4.0,,0.06425298343500126,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,8/2/24,Vente,"85000,00",6.0,,4880,THIEMANTE,25000,BESANCON,25,56,,AX,156,,3.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,30/01/2024,Vente,"65000,00",8.0,,2510,DES GRANGES,25000,BESANCON,25,56,,AD,69,,15.0,,,,,,,,,,1,2.0,,-0.08753743734177186,-0.021979156575208856,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,30/01/2024,Vente,"140000,00",53.0,B,390,DE BELFORT,25000,BESANCON,25,56,,BO,495,,36.0,"44,66",,,,,,,,,1,2.0,,-0.0008000540407586473,0.6013497238977152,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,30/01/2024,Vente,"140000,00",53.0,D,390,DE BELFORT,25000,BESANCON,25,56,,BO,495,,107.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,15/02/2024,Vente,"338399,00",47.0,,977,CHARLES BAUDELAIRE,25000,BESANCON,25,56,,HS,125,,,,,,,,,,,,0,1.0,,0.18351688547389441,1.8480074848435637,,-0.6171902356177231,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,12/2/24,Vente,"82000,00",38.0,,2440,GRANDE RUE,25000,BESANCON,25,56,,AB,9,,10.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,12/2/24,Vente,"82000,00",38.0,,2440,GRANDE RUE,25000,BESANCON,25,56,,AB,9,,7.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,12/2/24,Vente,"82000,00",38.0,,2440,GRANDE RUE,25000,BESANCON,25,56,,AB,9,,6.0,"66,26",,,,,,,,,1,2.0,,0.049796752884832395,0.6013497238977152,,-0.0006982601324978525,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,12/2/24,Vente,"30000,00",9.0,,3580,DE LA MOUILLERE,25000,BESANCON,25,56,,CW,168,,55.0,"20,96",,,,,,,,,1,4.0,,-0.07308120679160299,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,22/02/2024,Vente,"205700,00",25.0,,2920,DES JOURNAUX,25000,BESANCON,25,56,,DR,471,,513.0,"72,26",,,,,,,,,1,2.0,,0.10039355981042343,1.2246786043706395,,-0.0006982601324978525,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,22/02/2024,Vente,"205700,00",25.0,,2920,DES JOURNAUX,25000,BESANCON,25,56,,DR,471,,405.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,23/02/2024,Vente,"3500,00",15.0,,5010,DU TUNNEL,25000,BESANCON,25,56,,BI,261,,25.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,15/02/2024,Vente en l'état futur d'achèvement,"193000,00",10.0,A,1535,DENIS PAPIN,25000,BESANCON,25,56,,EZ,133,,95.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,15/02/2024,Vente en l'état futur d'achèvement,"193000,00",10.0,A,1535,DENIS PAPIN,25000,BESANCON,25,56,,EZ,133,,21.0,,,,,,,,,,1,2.0,,0.013656176509410221,0.6013497238977152,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,19/02/2024,Vente en l'état futur d'achèvement,"262000,00",9.0,,3752,OUSMANE SOW,25000,BESANCON,25,56,,HY,421,,73.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,19/02/2024,Vente en l'état futur d'achèvement,"262000,00",9.0,,3752,OUSMANE SOW,25000,BESANCON,25,56,,HY,421,,801.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,19/02/2024,Vente en l'état futur d'achèvement,"262000,00",9.0,,3752,OUSMANE SOW,25000,BESANCON,25,56,,HY,421,,71.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente en l'état futur d'achèvement,"12500,00",16.0,,165,ANDREY,25000,BESANCON,25,56,,BM,124,,2082.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente en l'état futur d'achèvement,"6000,00",16.0,,165,ANDREY,25000,BESANCON,25,56,,BM,124,,2018.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente en l'état futur d'achèvement,"15000,00",16.0,,165,ANDREY,25000,BESANCON,25,56,,BM,124,,2065.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente en l'état futur d'achèvement,"6000,00",16.0,,165,ANDREY,25000,BESANCON,25,56,,BM,124,,2020.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente en l'état futur d'achèvement,"21000,00",16.0,,165,ANDREY,25000,BESANCON,25,56,,BM,124,,2066.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente en l'état futur d'achèvement,"21000,00",16.0,,165,ANDREY,25000,BESANCON,25,56,,BM,124,,2014.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente en l'état futur d'achèvement,"15000,00",16.0,,165,ANDREY,25000,BESANCON,25,56,,BM,124,,2064.0,,,,,,,,,,1,,,0.0006235630426947613,,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,20/02/2024,Vente,"95000,00",32.0,,1380,COMMANDANT MARCEAU,25000,BESANCON,25,56,,HW,522,,195.0,,214.0,"35,44",,,,,,,2,4.0,,-0.029712515141096383,-0.645308037048133,,-0.0006982601324978525,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,28/02/2024,Vente,"425615,00",25.0,,3970,DU PETIT CHARMONT,25000,BESANCON,25,56,,AX,2,,,,,,,,,,,,0,1.0,,0.24134180767456992,3.094665245789412,,-0.9316378286677105,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,28/02/2024,Vente,"425615,00",4.0,,5270,DE VIGNIER,25000,BESANCON,25,56,,AX,215,,136.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
