No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1,30/05/2024,Vente,"122005,00",9,,RUE,4940,TREMOLIERES,25000,BESANCON,25,56,,BS,199,,2,"61,94",46,,86,,,,,,3,3,Dépendance,,0,0,,,
1,30/05/2024,Vente,"122005,00",9,,RUE,4940,TREMOLIERES,25000,BESANCON,25,56,,BS,199,,2,"61,94",46,,86,,,,,,3,2,Appartement,,66,4,,,
1,30/05/2024,Vente,"64000,00",99,,RUE,330,BATTANT,25000,BESANCON,25,56,,AZ,137,,3,"41,99",,,,,,,,,1,4,Local industriel. commercial ou assimilé,,40,0,,,
1,10/6/24,Vente,"100,00",13,,RUE,2711,CHRISTIAAN HUYGENS,25000,BESANCON,25,56,,EL,176,,7,"7,00",,,,,,,,,1,4,Local industriel. commercial ou assimilé,,6,0,,,
1,10/6/24,Vente,"100,00",13,,RUE,2711,CHRISTIAAN HUYGENS,25000,BESANCON,25,56,,EL,176,,8,"5,40",,,,,,,,,1,4,Local industriel. commercial ou assimilé,,5,0,,,
1,15/05/2024,Vente,"49000,00",30,,RUE,1861,ERNEST RENAN,25000,BESANCON,25,56,,AM,80,,29,,34,"22,00",,,,,,,2,2,Appartement,,23,1,,,
1,15/05/2024,Vente,"49000,00",30,,RUE,1861,ERNEST RENAN,25000,BESANCON,25,56,,AM,80,,29,,34,"22,00",,,,,,,2,3,Dépendance,,0,0,,,
1,13/05/2024,Vente,"249000,00",18,,RUE,2758,DES JARDINS,25000,BESANCON,25,56,,CL,321,,330,,340,"99,24",,,,,,,2,3,Dépendance,,0,0,,,
1,13/05/2024,Vente,"249000,00",18,,RUE,2758,DES JARDINS,25000,BESANCON,25,56,,CL,321,,330,,340,"99,24",,,,,,,2,2,Appartement,,100,4,,,
1,13/05/2024,Vente,"249000,00",18,,RUE,2758,DES JARDINS,25000,BESANCON,25,56,,CL,321,,305,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,5/4/24,Vente,"30000,00",11,,RUE,2210,DU FUNICULAIRE,25000,BESANCON,25,56,,CX,7,,11,,,,,,,,,,1,2,Appartement,,153,3,,,
1,5/4/24,Vente,"30000,00",11,,RUE,2210,DU FUNICULAIRE,25000,BESANCON,25,56,,CX,7,,11,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,5/4/24,Vente,"30000,00",11,,RUE,2210,DU FUNICULAIRE,25000,BESANCON,25,56,,CX,7,,11,,,,,,,,,,1,3,Dépendance,,0,0,,,
2,5/4/24,Vente,"350000,00",11,,RUE,2210,DU FUNICULAIRE,25000,BESANCON,25,56,,CX,7,,10,,6,,8,"147,88",,,,,3,2,Appartement,,159,5,,,
2,5/4/24,Vente,"350000,00",11,,RUE,2210,DU FUNICULAIRE,25000,BESANCON,25,56,,CX,7,,10,,6,,8,"147,88",,,,,3,3,Dépendance,,0,0,,,
2,5/4/24,Vente,"350000,00",11,,RUE,2210,DU FUNICULAIRE,25000,BESANCON,25,56,,CX,7,,10,,6,,8,"147,88",,,,,3,3,Dépendance,,0,0,,,
2,5/4/24,Vente,"350000,00",11,,RUE,2210,DU FUNICULAIRE,25000,BESANCON,25,56,,CX,7,,4,,,,,,,,,,1,3,Dépendance,,0,0,,,
2,5/4/24,Vente,"350000,00",11,,RUE,2210,DU FUNICULAIRE,25000,BESANCON,25,56,,CX,7,,3,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,14/05/2024,Vente,"223250,00",64,,RUE,2510,DES GRANGES,25000,BESANCON,25,56,,AC,70,,18,"103,46",33,,39,,,,,,3,3,Dépendance,,0,0,,,
1,14/05/2024,Vente,"223250,00",64,,RUE,2510,DES GRANGES,25000,BESANCON,25,56,,AC,70,,18,"103,46",33,,39,,,,,,3,3,Dépendance,,0,0,,,
1,14/05/2024,Vente,"223250,00",64,,RUE,2510,DES GRANGES,25000,BESANCON,25,56,,AC,70,,18,"103,46",33,,39,,,,,,3,2,Appartement,,100,3,,,
1,28/05/2024,Vente,"150000,00",22,C,RUE,780,DE CHAILLOT,25000,BESANCON,25,56,,HV,250,,14,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,28/05/2024,Vente,"150000,00",22,C,RUE,780,DE CHAILLOT,25000,BESANCON,25,56,,HV,250,,146,,96,,,,,,,,2,2,Appartement,,67,3,,,
1,28/05/2024,Vente,"150000,00",22,C,RUE,780,DE CHAILLOT,25000,BESANCON,25,56,,HV,250,,146,,96,,,,,,,,2,3,Dépendance,,0,0,,,
1,21/05/2024,Vente,"328000,00",20,,CHE,2070,DU FORT DE BREGILLE,25000,BESANCON,25,56,,CR,38,,40,"148,76",,,,,,,,,1,2,Appartement,,145,5,,,
1,21/05/2024,Vente,"328000,00",20,,CHE,2070,DU FORT DE BREGILLE,25000,BESANCON,25,56,,CR,38,,10,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,21/05/2024,Vente,"328000,00",20,,CHE,2070,DU FORT DE BREGILLE,25000,BESANCON,25,56,,CR,38,,9,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,21/05/2024,Vente,"328000,00",20,,CHE,2070,DU FORT DE BREGILLE,25000,BESANCON,25,56,,CR,38,,40,"148,76",,,,,,,,,1,3,Dépendance,,0,0,,,
1,21/05/2024,Vente,"328000,00",20,,CHE,2070,DU FORT DE BREGILLE,25000,BESANCON,25,56,,CR,38,,40,"148,76",,,,,,,,,1,3,Dépendance,,0,0,,,
1,21/05/2024,Vente,"328000,00",20,,CHE,2070,DU FORT DE BREGILLE,25000,BESANCON,25,56,,CR,38,,40,"148,76",,,,,,,,,1,3,Dépendance,,0,0,,,
1,21/05/2024,Vente,"328000,00",20,,CHE,2070,DU FORT DE BREGILLE,25000,BESANCON,25,56,,CR,38,,21,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,21/05/2024,Vente,"254500,00",16,,RUE,3902,PAUL VERLAINE,25000,BESANCON,25,56,,HS,166,,,,,,,,,,,,0,1,Maison,,93,4,S,,531
1,29/05/2024,Vente,"173010,00",4,,RUE,3205,LUCIEN FEBVRE,25000,BESANCON,25,56,,HW,199,,131,,132,,,,,,,,2,3,Dépendance,,0,0,,,
1,29/05/2024,Vente,"173010,00",4,,RUE,3205,LUCIEN FEBVRE,25000,BESANCON,25,56,,HW,199,,131,,132,,,,,,,,2,2,Appartement,,76,4,,,
1,17/05/2024,Vente,"3600,00",7,,AV,3670,DE L OBSERVATOIRE,25000,BESANCON,25,56,,HM,12,,313,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,17/05/2024,Vente,"77000,00",29,,AV,3670,DE L OBSERVATOIRE,25000,BESANCON,25,56,,EZ,5,,28,"30,69",,,,,,,,,1,2,Appartement,,30,1,,,
1,17/05/2024,Vente,"77000,00",29,,AV,3670,DE L OBSERVATOIRE,25000,BESANCON,25,56,,EZ,5,,70,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,17/05/2024,Vente,"235000,00",30,,AV,670,CARNOT,25000,BESANCON,25,56,,CV,12,,18,,24,,35,,6,"94,03",8,,6,3,Dépendance,,0,0,,,
1,17/05/2024,Vente,"235000,00",30,,AV,670,CARNOT,25000,BESANCON,25,56,,CV,12,,18,,24,,35,,6,"94,03",8,,6,3,Dépendance,,0,0,,,
1,17/05/2024,Vente,"235000,00",30,,AV,670,CARNOT,25000,BESANCON,25,56,,CV,12,,18,,24,,35,,6,"94,03",8,,6,3,Dépendance,,0,0,,,
1,17/05/2024,Vente,"235000,00",30,,AV,670,CARNOT,25000,BESANCON,25,56,,CV,12,,18,,24,,35,,6,"94,03",8,,6,3,Dépendance,,0,0,,,
1,17/05/2024,Vente,"235000,00",30,,AV,670,CARNOT,25000,BESANCON,25,56,,CV,12,,18,,24,,35,,6,"94,03",8,,6,2,Appartement,,98,3,,,
1,17/05/2024,Vente,"235000,00",30,,AV,670,CARNOT,25000,BESANCON,25,56,,CV,12,,33,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,16/05/2024,Vente,"77900,00",4,,RUE,1532,AUGUSTE DELAUNE,25000,BESANCON,25,56,,HX,329,,18,,43,"33,60",,,,,,,2,3,Dépendance,,0,0,,,
1,16/05/2024,Vente,"77900,00",4,,RUE,1532,AUGUSTE DELAUNE,25000,BESANCON,25,56,,HX,329,,76,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,16/05/2024,Vente,"77900,00",4,,RUE,1532,AUGUSTE DELAUNE,25000,BESANCON,25,56,,HX,329,,18,,43,"33,60",,,,,,,2,2,Appartement,,33,1,,,
