Valeur fonciere,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain
"325000,00",9.0,,,,1,4.0,Local industriel. commercial ou assimilé,268.0,0.0,,
"325000,00",5.0,,,,1,4.0,Local industriel. commercial ou assimilé,20.0,0.0,,
"170000,00",82.0,"70,91",,,1,4.0,Local industriel. commercial ou assimilé,66.0,0.0,,
"170000,00",47.0,,,,1,3.0,Dépendance,0.0,0.0,,
"170000,00",46.0,,,,1,3.0,Dépendance,0.0,0.0,,
"155980,00",495.0,,510.0,,2,3.0,Dépendance,0.0,0.0,,
"155980,00",495.0,,510.0,,2,2.0,Appartement,68.0,3.0,,
"125000,00",145.0,"80,20",,,1,2.0,Appartement,77.0,4.0,,
"125000,00",22.0,,,,1,3.0,Dépendance,0.0,0.0,,
"125000,00",48.0,,,,1,3.0,Dépendance,0.0,0.0,,
"20000,00",455.0,,,,1,3.0,Dépendance,0.0,0.0,,
"153000,00",39.0,,59.0,,3,2.0,Appartement,85.0,4.0,,
"153000,00",39.0,,59.0,,3,3.0,Dépendance,0.0,0.0,,
"153000,00",31.0,,,,1,3.0,Dépendance,0.0,0.0,,
"153000,00",39.0,,59.0,,3,3.0,Dépendance,0.0,0.0,,
"62000,00",1.0,,19.0,,3,4.0,Local industriel. commercial ou assimilé,75.0,0.0,,
"62000,00",19.0,,,,1,2.0,Appartement,60.0,2.0,,
"131000,00",19.0,"63,82",29.0,,3,3.0,Dépendance,0.0,0.0,,
"131000,00",19.0,"63,82",29.0,,3,3.0,Dépendance,0.0,0.0,,
"131000,00",19.0,"63,82",29.0,,3,2.0,Appartement,65.0,4.0,,
"180000,00",,,,,0,4.0,Local industriel. commercial ou assimilé,81.0,0.0,S,102.0
"320000,00",,,,,0,1.0,Maison,135.0,6.0,AG,425.0
"320000,00",,,,,0,1.0,Maison,135.0,6.0,S,576.0
"4941900,00",,,,,0,,,,,,
"4941900,00",,,,,0,,,,,,
"4941900,00",2121.0,,,,1,,,,,,
"4941900,00",2120.0,,,,1,,,,,,
"4941900,00",2119.0,,,,1,,,,,,
"4941900,00",2118.0,,,,1,,,,,,
"4941900,00",2068.0,,,,1,,,,,,
"4941900,00",2067.0,,,,1,,,,,,
"4941900,00",2057.0,,,,1,,,,,,
"4941900,00",2056.0,,,,1,,,,,,
"4941900,00",2055.0,,,,1,,,,,,
"4941900,00",2054.0,,,,1,,,,,,
"4941900,00",2053.0,,,,1,,,,,,
"4941900,00",2052.0,,,,1,,,,,,
"4941900,00",2050.0,,,,1,,,,,,
"4941900,00",2125.0,,,,1,,,,,,
"4941900,00",2122.0,,,,1,,,,,,
"4941900,00",2124.0,,,,1,,,,,,
"4941900,00",2123.0,,,,1,,,,,,
"6000,00",2023.0,,,,1,,,,,,
"183000,00",1426.0,,1440.0,"65,55",2,3.0,Dépendance,0.0,0.0,,
"183000,00",1605.0,"11,78",,,1,3.0,Dépendance,0.0,0.0,,
"183000,00",1426.0,,1440.0,"65,55",2,2.0,Appartement,67.0,3.0,,
"183000,00",1412.0,"16,24",,,1,3.0,Dépendance,0.0,0.0,,
"12500,00",2087.0,,,,1,,,,,,
"10000,00",177.0,,,,1,3.0,Dépendance,0.0,0.0,,
"6000,00",2019.0,,,,1,,,,,,
"6000,00",2005.0,,,,1,,,,,,
"109555,00",58.0,,59.0,,3,2.0,Appartement,70.0,4.0,,
"109555,00",58.0,,59.0,,3,3.0,Dépendance,0.0,0.0,,
"55000,00",128.0,,,,1,4.0,Local industriel. commercial ou assimilé,94.0,0.0,,
"10000,00",,,,,0,,,,,S,354.0
"10000,00",,,,,0,,,,,J,3.0
"10000,00",,,,,0,,,,,L,64.0
"100000,00",116.0,,127.0,,2,3.0,Dépendance,0.0,0.0,,
"100000,00",116.0,,130.0,,2,4.0,Local industriel. commercial ou assimilé,94.0,0.0,,
"100000,00",116.0,,127.0,,2,1.0,Maison,45.0,3.0,,
"100000,00",129.0,,,,1,2.0,Appartement,72.0,3.0,,
"100000,00",116.0,,127.0,,2,3.0,Dépendance,0.0,0.0,,
"50000,00",114.0,,,,1,3.0,Dépendance,0.0,0.0,,
"50000,00",114.0,,,,1,1.0,Maison,45.0,3.0,,
"50000,00",114.0,,,,1,3.0,Dépendance,0.0,0.0,,
"50000,00",130.0,,131.0,,3,4.0,Local industriel. commercial ou assimilé,94.0,0.0,,
"200710,00",7.0,"105,92",8.0,,2,3.0,Dépendance,0.0,0.0,,
"200710,00",7.0,"105,92",8.0,,2,2.0,Appartement,101.0,5.0,,
"200710,00",2.0,,,,1,3.0,Dépendance,0.0,0.0,,
"173000,00",11.0,"75,81",12.0,,4,3.0,Dépendance,0.0,0.0,,
"173000,00",11.0,"75,81",12.0,,4,3.0,Dépendance,0.0,0.0,,
"173000,00",11.0,"75,81",12.0,,4,2.0,Appartement,69.0,4.0,,
"5910,00",,,,,0,,,,,S,1182.0
"258300,00",27.0,,,,1,3.0,Dépendance,0.0,0.0,,
"258300,00",13.0,,18.0,"101,19",4,3.0,Dépendance,0.0,0.0,,
"258300,00",13.0,,18.0,"101,19",4,2.0,Appartement,92.0,4.0,,
"258300,00",13.0,,18.0,"101,19",4,3.0,Dépendance,0.0,0.0,,
"258300,00",13.0,,18.0,"101,19",4,3.0,Dépendance,0.0,0.0,,
"35000,00",1.0,,,,1,3.0,Dépendance,0.0,0.0,,
"35000,00",2.0,"14,36",,,1,4.0,Local industriel. commercial ou assimilé,18.0,0.0,,
"35000,00",3.0,"14,19",,,1,4.0,Local industriel. commercial ou assimilé,17.0,0.0,,
"150000,00",1011.0,"65,41",,,1,2.0,Appartement,65.0,2.0,,
"150000,00",1010.0,,,,1,3.0,Dépendance,0.0,0.0,,
"91400,00",201.0,,211.0,"68,90",2,3.0,Dépendance,0.0,0.0,,
"91400,00",201.0,,211.0,"68,90",2,2.0,Appartement,67.0,4.0,,
"91400,00",201.0,,211.0,"68,90",2,3.0,Dépendance,0.0,0.0,,
"126550,00",142.0,"62,06",,,1,2.0,Appartement,62.0,3.0,,
"126550,00",103.0,,,,1,3.0,Dépendance,0.0,0.0,,
"52250,00",237.0,"19,02",,,1,2.0,Appartement,19.0,1.0,,
"15000,00",,,,,0,3.0,Dépendance,0.0,0.0,S,26.0
"62000,00",4.0,,,,1,2.0,Appartement,23.0,1.0,,
"136000,00",74.0,,90.0,,2,2.0,Appartement,83.0,4.0,,
"136000,00",265.0,,,,1,3.0,Dépendance,0.0,0.0,,
"136000,00",74.0,,90.0,,2,3.0,Dépendance,0.0,0.0,,
"133000,00",138.0,,,,1,3.0,Dépendance,0.0,0.0,,
"133000,00",32.0,,78.0,,2,3.0,Dépendance,0.0,0.0,,
"133000,00",32.0,,78.0,,2,3.0,Dépendance,0.0,0.0,,
"133000,00",32.0,,78.0,,2,2.0,Appartement,49.0,2.0,,
"133000,00",142.0,,,,1,3.0,Dépendance,0.0,0.0,,
"83000,00",107.0,,83.0,,3,3.0,Dépendance,0.0,0.0,,
